account,totalAmount,mcc,merchant
5ac90306-5796-4897-b749-84b78b07bcda,1.00,5411,UBER TRIP                   SAO PAULO BR
5ac90306-5796-4897-b749-84b78b07bcda,1.00,5412,UBER TRIP                   SAO PAULO BR
5ac90306-5796-4897-b749-84b78b07bcda,1.00,5811,UBER TRIP                   SAO PAULO BR
5ac90306-5796-4897-b749-84b78b07bcda,1.00,5812,UBER TRIP                   SAO PAULO BR
5ac90306-5796-4897-b749-84b78b07bcda,1.00,3456,UBER TRIP                   SAO PAULO BR
026b36f0-8454-4af4-b223-f94fa6bc3568,1.00,5811,UBER EATS                   SAO PAULO BR
026b36f0-8454-4af4-b223-f94fa6bc3568,1.00,5812,UBER EATS                   SAO PAULO BR
026b36f0-8454-4af4-b223-f94fa6bc3568,1.00,5411,UBER EATS                   SAO PAULO BR
026b36f0-8454-4af4-b223-f94fa6bc3568,1.00,5412,UBER EATS                   SAO PAULO BR
026b36f0-8454-4af4-b223-f94fa6bc3568,1.00,2568,UBER EATS                   SAO PAULO BR
3f94fe6e-7076-441a-b837-a46d5f75b499,1.00,5411,PAG*JoseDaSilva          RIO DE JANEI BR
3f94fe6e-7076-441a-b837-a46d5f75b499,1.00,5412,PAG*JoseDaSilva          RIO DE JANEI BR
55678e28-133d-4a78-8f6e-2327b2fdcb76,1.00,5811,PAG*JoseDaSilva          RIO DE JANEI BR
55678e28-133d-4a78-8f6e-2327b2fdcb76,1.00,5812,PAG*JoseDaSilva          RIO DE JANEI BR
3f94fe6e-7076-441a-b837-a46d5f75b499,1.00,1467,PAG*JoseDaSilva          RIO DE JANEI BR
